name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;395;0;513;3137;1027;3137;1003;0
header;171;172;171;204;1788;204;1788;172
A;962;157;962;160;966;160;966;157
A;969;239;969;266;991;266;991;239
B;720;511;720;537;737;537;737;511
C;665;555;665;582;682;582;682;555
B;537;784;537;811;554;811;554;784
B;974;904;974;932;995;932;995;904
C;644;1238;644;1264;662;1264;662;1238
B;826;1511;826;1537;843;1537;843;1511
C;974;1576;974;1603;995;1603;995;1576
D;977;2142;977;2169;999;2169;999;2142
B;950;2517;950;2536;965;2536;965;2517
C;570;2893;570;2920;596;2920;596;2893
