name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;135;0;555;3133;1217;3133;1100;0
header;138;195;138;233;1758;233;1758;195
B;945;872;945;901;967;901;967;872
B;1080;959;1080;977;1094;977;1094;959
A;570;1127;570;1128;572;1128;572;1127
C;950;1555;950;1583;971;1583;971;1555
A;955;1706;955;1706;955;1706;955;1706
A;871;1933;871;1939;877;1939;877;1933
D;960;2235;960;2262;980;2262;980;2235
C;1089;2477;1089;2496;1103;2496;1103;2477
A;778;2563;778;2587;792;2587;792;2563
B;749;2718;749;2733;770;2733;770;2718
D;942;2723;942;2740;966;2740;966;2723
A;1014;2855;1014;2861;1019;2861;1019;2855
